AccountName,Industry,ProductCode,ProductName,Date,EventTimeStamp,Active,Page Views,Page Visits,Files Downloaded,No of Reports Run,No of Rules Triggered,No of Schedules Created
Jandel Scientific Inc.,Retail,CODE009,Microsfot PowerPoint,6,6,FALSE,26,174,1,378,557,32
Japanese American Citizens Lea,Industrial Manufacturing & Services,CODE010,Outlook,6,6,TRUE,60,129,2,362,934,30
K & S Contractors Supply Co,Insurance,CODE011,Windows Server,6,6,FALSE,15,139,2,387,351,40
Kahlert Assoc Inc,Healthcare,CODE012,Amazon EC2 Server,6,6,TRUE,8,110,4,459,858,31
Kaiser Steel Resources Inc,Retail,CODE013,Cloud Computing,6,6,FALSE,30,176,4,300,553,40
Karabelas Furs Inc,Healthcare,CODE014,SAP,6,6,TRUE,91,177,1,482,672,25
Karpen & Steel Products Inc,Manufacturing,CODE015,Online Meetings,6,6,FALSE,31,168,5,232,358,35
La Costa Hotel & Spa,Utilities,CODE001,Microsoft Word,6,6,TRUE,34,179,3,105,260,4
Lafferty RF & Co Inc,Engineering,CODE002,Windows - OS,6,6,FALSE,79,148,3,412,277,18
Lake County,Oil & Gas & Energy,CODE003,Antivirus,6,6,FALSE,50,128,0,39,313,9
Lakeland Village,Service,CODE004,Networking - 2G,6,6,TRUE,78,161,2,490,104,29
Lexidata Corporation,Hospitality,CODE005,Networking - 3G,6,6,FALSE,82,160,4,458,421,31
Madonna Construction Co,Retail,CODE006,CRM,6,6,TRUE,32,156,0,303,112,44
Magma Power Co,Non-profit,CODE007,Marketing - Automation,6,6,FALSE,51,155,4,386,958,18
Magna Mill Products,Food & Beverage,CODE008,Microsoft Excel,6,6,TRUE,67,171,2,447,117,0
Majestic Entertainment,Agriculture,CODE009,Microsfot PowerPoint,6,6,FALSE,60,187,3,149,582,18
Mall Side Sports,Finance,CODE010,Outlook,6,6,TRUE,76,140,3,44,610,39
N/S Corp,Oil & Gas Exploration & Production,CODE011,Windows Server,6,6,FALSE,47,195,4,166,474,50
Nardon Mfg Company Incorporated,Manufacturing,CODE012,Amazon EC2 Server,6,6,TRUE,83,173,3,17,818,46
Nash Direct,Manufacturing,CODE013,Cloud Computing,6,6,FALSE,27,120,1,308,865,34
National Assn of Printing Ink,Manufacturing,CODE014,SAP,6,6,TRUE,27,176,5,497,292,23
Nixdorf Computer,Government,CODE015,Online Meetings,6,6,FALSE,94,143,0,453,263,3
O-Cel-O Div General Mills Inc.,Service,CODE001,Microsoft Word,6,6,TRUE,26,185,0,35,612,7
Oakland Carbide Engineering &,Healthcare,CODE002,Windows - OS,6,6,FALSE,0,170,5,435,815,11
Ocean Sports,Manufacturing,CODE003,Antivirus,6,6,TRUE,61,111,1,347,228,4
Ocean Sports Wear,Consumer Services,CODE004,Networking - 2G,6,6,FALSE,20,195,4,296,476,32
OKeeffes Inc,Manufacturing,CODE005,Networking - 3G,6,6,TRUE,31,177,4,196,82,19
P & C Food Markets Inc,Hospitality,CODE006,CRM,6,6,FALSE,4,167,4,266,893,9
P.S.C.,Consulting,CODE007,Marketing - Automation,6,6,FALSE,7,117,3,173,215,34
PacDevco Inc,Telecommunications,CODE008,Microsoft Excel,6,6,TRUE,19,120,4,54,919,18
Pace Press Inc,Hospitality,CODE009,Microsfot PowerPoint,6,6,FALSE,80,143,4,284,943,36
Purity-Supreme Inc.,Manufacturing,CODE010,Outlook,6,6,TRUE,10,139,5,150,517,32
Pyramid Construction Inc.,Construction,CODE011,Windows Server,6,6,FALSE,51,122,2,355,793,41
Quadrex Corp,Telecommunications,CODE012,Amazon EC2 Server,6,6,TRUE,7,165,4,441,81,3
Quaker Fashions,Healthcare,CODE013,Cloud Computing,6,6,FALSE,30,101,0,121,953,20
Queensborough Public Library,Manufacturing,CODE014,SAP,6,6,TRUE,47,115,3,81,756,46
Quinn/Brein Inc,Manufacturing,CODE015,Online Meetings,6,6,FALSE,61,199,5,205,406,6
Quota Systems Inc.,Construction,CODE001,Microsoft Word,6,6,TRUE,54,133,3,223,445,24
R-F Industries Inc,Bakery Products,CODE002,Windows - OS,6,6,FALSE,85,161,2,444,732,36
Raceway Engines,Technology,CODE003,Antivirus,6,6,TRUE,53,102,4,75,51,25
Raleigh Active Wear,Manufacturing,CODE004,Networking - 2G,6,6,FALSE,67,125,2,461,783,39
Raleigh Co.,Technology,CODE005,Networking - 3G,6,6,TRUE,53,183,0,28,245,37
Ralston Inc.,Transportation,CODE006,CRM,6,6,FALSE,67,182,4,314,687,28
Sabena-Belgian World Airlines,Manufacturing,CODE007,Marketing - Automation,6,6,TRUE,41,107,4,356,843,34
Safeway Plumbing & Heating Inc,Consulting,CODE008,Microsoft Excel,6,6,FALSE,21,153,4,207,280,8
Saint Johns University Staten,Software & Programming,CODE009,Microsfot PowerPoint,6,6,TRUE,76,132,3,62,718,35
sForce,,CODE010,Outlook,6,6,FALSE,24,192,1,296,388,5
Star Markets,Food & Beverage,CODE011,Windows Server,6,6,FALSE,19,145,5,109,190,25
State House Active Wear,Service,CODE012,Amazon EC2 Server,6,6,TRUE,42,170,3,141,509,12
Tapecon Inc,Service,CODE013,Cloud Computing,6,6,FALSE,83,189,1,10,227,46
TDA Industries Inc,Medical Devices,CODE014,SAP,6,6,TRUE,6,199,2,411,816,31
TEAC Corp. of America,Service,CODE015,Online Meetings,6,6,FALSE,3,114,2,189,631,31
Tech Fire & Safety Company,Biotechnology,CODE001,Microsoft Word,6,6,TRUE,19,165,4,342,198,32
Teradyne,Finance,CODE002,Windows - OS,6,6,FALSE,10,169,1,116,464,41
UBAF Arab American Bank,Hospitality,CODE003,Antivirus,6,6,TRUE,12,200,5,215,771,7
UniAmerica Inc,Healthcare,CODE004,Networking - 2G,6,6,FALSE,11,132,1,406,804,19
Union Flights,Technology,CODE005,Networking - 3G,6,6,TRUE,84,102,3,267,325,40
United Artists Theater Circuit,Service,CODE006,CRM,6,6,FALSE,43,111,0,219,377,15
United Can Co.,Government,CODE007,Marketing - Automation,6,6,TRUE,49,189,4,190,814,32
United Oil & Gas Corp.,Energy,CODE008,Microsoft Excel,6,6,FALSE,91,158,0,15,950,11
"United Oil & Gas, Singapore",Energy,CODE009,Microsfot PowerPoint,6,6,TRUE,87,148,5,241,559,43
"United Oil & Gas, UK",Energy,CODE010,Outlook,6,6,FALSE,63,175,3,380,745,10
University of Arizona,Education,CODE011,Windows Server,6,6,TRUE,79,114,0,150,636,0
Veritas Software,Non-profit,CODE012,Amazon EC2 Server,6,6,FALSE,90,165,3,226,39,25
Via Systems,Telecommunications,CODE013,Cloud Computing,6,6,TRUE,84,177,3,301,318,29
Vicor,Non-profit,CODE014,SAP,6,6,FALSE,4,181,5,308,866,39
Volga Boats,Technology,CODE015,Online Meetings,6,6,FALSE,17,127,2,473,504,30
Vyrex,Retail,CODE001,Microsoft Word,6,6,TRUE,78,132,4,37,441,48
Wallys World,Technology,CODE002,Windows - OS,6,6,FALSE,22,118,4,45,849,0
Westend Dealers,Service,CODE003,Antivirus,6,6,TRUE,76,167,3,467,709,33
Westinghouse Corporation,Manufacturing,CODE004,Networking - 2G,6,6,FALSE,80,102,4,302,920,28
Wind & Rain,Others,CODE005,Networking - 3G,6,6,TRUE,63,169,4,226,669,48
Wyse Corp.,Technology,CODE006,CRM,6,6,FALSE,11,196,3,271,695,32
Xerox,Others,CODE007,Marketing - Automation,6,6,TRUE,29,143,1,297,963,14
Yesterday Productions Corp.,Manufacturing,CODE008,Microsoft Excel,6,6,FALSE,13,124,2,95,716,33
Ziff-Davis Labs,Manufacturing,CODE009,Microsfot PowerPoint,7,7,TRUE,92,107,1,35,392,38
Zoo Gift Shop,Manufacturing,CODE010,Outlook,7,7,FALSE,6,112,5,490,747,48
